LOC_NUM,STATE_ABBR,CITY_NAME,SURFACE_WATER_SOURCE,STATION
3980,PA,PHILADELPHIA,Schuylkill R.,PHILADELPHIA/QUEEN
3989,NV,LAS VEGAS,NA,LAS VEGAS/913
3992,AL,MONTGOMERY,NA,MONTGOMERY/411
3996,NV,LAS VEGAS,NA,LAS VEGAS/906
3997,AL,MONTGOMERY,NA,MONTGOMERY/408
4003,ON,OTTAWA,NA,OTTAWA
4006,CA,SAN JOSE,NA,SAN JOSE
4008,CA,RIVERSIDE,NA,RIVERSIDE
4010,CT,NEW HAVEN,NA,NEW HAVEN
4017,SC,GREENVILLE,NA,GREENVILLE
4021,KY,LEXINGTON,NA,LEXINGTON
4035,IN,FORT WAYNE,NA,FORT WAYNE
4037,LA,SHREVEPORT,NA,SHREVEPORT
4041,TX,LUBBOCK,NA,LUBBOCK
4044,CO,COLORADO SPRINGS,NA,COLORADO SPRINGS
4047,CO,GRAND JUNCTION,NA,GRAND JUNCTION
4051,CA,BAKERSFIELD,NA,BAKERSFIELD
4059,CA,SAN BERNARDINO,NA,SAN BERNARDINO
4061,TN,OAK RIDGE,NA,OAK RIDGE/#371
4062,TN,OAK RIDGE,NA,OAK RIDGE/#772
4063,TN,OAK RIDGE,NA,OAK RIDGE/#768
4064,TN,OAK RIDGE,NA,OAK RIDGE/#4442
4065,TN,OAK RIDGE,NA,OAK RIDGE/#360
4066,CA,ANAHEIM,NA,ANAHEIM
4071,VA,HARRISONBURG,NA,HARRISONBURG
4073,IL,CHAMPAIGN,NA,CHAMPAIGN
4074,WI,LA CROSSE,NA,LA CROSSE
4076,TX,SAN ANGELO,NA,SAN ANGELO
4077,AR,FORT SMITH,NA,FORT SMITH
4082,TX,LAREDO,NA,LAREDO
4085,IA,MASON CITY,NA,MASON CITY
4087,AZ,PHOENIX,NA,PHOENIX/956
4088,OR,CORVALLIS,NA,CORVALLIS
4095,WA,ELLENSBURG,NA,ELLENSBURG
4096,TX,AUSTIN,NA,AUSTIN/CONCORDIA
4100,NY,HAUPPAUGE,NA,HAUPPAUGE
4102,MS,JACKSON,NA,JACKSON/DEQ
4105,IA,FORT MADISON,NA,FORT MADISON
4107,TX,HARLINGEN,NA,HARLINGEN
4108,NM,NAVAJO LAKE,NA,NAVAJO LAKE
4112,AK,NOME,NA,NOME
4113,GU,GUAM,NA,GUAM
4115,CNMI,SAIPAN,NA,SAIPAN
4116,HI,KAHUKU,NA,KAHUKU
4117,HI,KAUAI,NA,KAUAI
4118,TN,ATHENS,NA,ATHENS
4138,PA,BLOOMSBURG,NA,BLOOMSBURG
4157,SC,ROCK HILL,NA,ROCK HILL
