PROJ_NUM,STUDY_NUM,PROJ_ID,PROJ_NAME
1037,2,RAN 1996-1,RAN 1996-1
1039,5,SW 1996-1,SW 1996-1
1040,4,DW 1996-1,DW 1996 - 1st quarter
1044,3,TR 1996-1,TR 1996 - 1st quarter
1047,2,RAN 1996-2,RAN 1996-2
1048,4,DW 1996-2,DW 1996 - 2nd quarter
1049,1,PMN 1996-2,PMN 1996-2
1050,5,SW 1996-2,SW 1996-2
1055,3,TR 1996-2,TR 1996 - 2nd quarter
1059,2,RAN 1996-3,RAN 1996 - 3rd quarter
1060,1,PMN 1996-3,PMN 1996 - 3rd quarter
1061,4,DW 1996-3,DW 1996 - 3rd quarter
1062,5,SW 1996-3,SW 1996-3
1063,1,PMNC 1995-4,PMNC 1995-4
1065,3,TRCP 1996,1996 Precipitation Composites
1070,3,TR 1996-3,TR 1996 - 3rd quarter
1071,2,PUUA 1995-4,PUUA 1995-4
1078,1,PMN 1996-4,PMN 1996-4
1079,4,DW 1996-4,DW 1996 - 4th quarter
1080,5,SW 1996-4,SW 1996-4
1081,2,RAN 1996-4,RAN 1996-4
1084,3,TR 1996-4,TR 1996 - 4th quarter
1085,4,DWCP 1996,1996 drinking water composites
1086,1,PMN 1997-1,PMN 1997 - 1st quarter
1087,4,DW 1997-1,DW 1997 - 1st quarter
1088,5,SW 1997-1,SW 1997 - 1st quarter
1089,2,RAN 1997-1,RAN 1997-1
1095,3,TR 1997-1,TR 1997 - 1st quarter
1100,1,PMN 1997-2,PMN 1997 - 2nd quarter
1101,4,DW 1997-2,DW 1997 - 2nd quarter
1102,2,RAN 1997-2,RAN 1997 - 2nd quarter
1103,5,SW 1997-2,SW 1997 - 2nd quarter
1107,3,TR 1997-2,TR 1997 - 2nd quarter
1109,2,RAN 1997-3,RAN 1997 - 3rd quarter
1110,1,PMN 1997-3,PMN 1997 - 3rd quarter
1111,4,DW 1997-3,DW 1997 - 3rd quarter
1112,5,SW 1997-3,SW 1997 - 3rd quarter
1113,3,TR 1997-3,TR 1997 - 3rd quarter
1118,2,RAN 1997-4,RAN 1997 - 4th quarter
1119,3,TR 1997-4,TR 1997 - 4th quarter
1120,4,DW 1997-4,DW 1997 - 4th quarter
1121,5,SW 1997-4,SW 1997 - 4th quarter
1122,1,PMN 1997-4,PMN 1997 - 4th quarter
1133,2,RAN 1998-1,RAN 1998 - 1st quarter
1134,1,PMN 1998-1,PMN 1998 - 1st quarter
1135,4,DW 1998-1,DW 1998 - 1st quarter
1136,5,SW 1998-1,SW 1998 - 1st quarter
1137,4,DWCP 1997,1997 drinking water composites
1142,2,RAN 1998-2,RAN 1998 - 2nd quarter
1144,2,PUUA 1996,1996 air filter composites
1145,3,TR 1998-1,TR 1998 - 1st quarter
1150,1,PMN 1998-2,PMN 1998 - 2nd quarter
1151,5,SW 1998-2,SW 1998 - 2nd quarter
1152,4,DW 1998-2,DW 1998 - 2nd quarter
1153,3,TR 1998-2,TR 1998 - 2nd quarter
1154,2,PUUA 1997,1997 air filter composites
1158,4,DW 1998-3,DW 1998 - 3rd quarter
1159,5,SW 1998-3,SW 1998 - 3rd quarter
1160,3,TR 1998-3,TR 1998 - 3rd quarter
1161,1,PMN 1998-3,PMN 1998 - 3rd quarter
1162,2,RAN 1998-3,RAN 1998 - 3rd quarter
1189,2,RAN 1998-4,RAN 1998 - 4th quarter
1190,4,DW 1998-4,DW 1998 - 4th quarter
1191,5,SW 1998-4,SW 1998 - 4th quarter
1192,3,TR 1998-4,TR 1998 - 4th quarter
1193,1,PMN 1998-4,PMN 1998 - 4th quarter
1202,4,DW 1999-3,DW 1999-3
1203,4,DW 1999-2,DW 1999-2
1204,4,DW 1999-4,DW 1999-4
1205,3,TR 1999-1,TR 1999-1
1206,3,TR 1999-2,TR 1999-2
1207,3,TR 1999-3,TR 1999-3
1208,3,TR 1999-4,TR 1999-4
1209,2,RAN 1999-1,RAN 1999-1
1210,2,RAN 1999-2,RAN 1999-2
1211,2,RAN 1999-3,RAN 1999-3
1212,2,RAN 1999-4,RAN 1999-4
1213,5,SW 1999-1,SW 1999-1
1214,5,SW 1999-2,SW 1999-2
1215,5,SW 1999-3,SW 1999-3
1216,5,SW 1999-4,SW 1999-4
1217,1,PMN 1999-1,PMN 1999-1
1218,1,PMN 1999-2,PMN 1999-2
1219,1,PMN 1999-3,PMN 1999-3
1220,1,PMN 1999-4,PMN 1999-4
1221,2,PUUA 1998,1998 AIR FILTER COMPOSITES
1222,4,DWCP 1998,1998 DRINKING WATER COMPOSITES
1223,4,DW 1999-1,DW 1999-1
1263,4,DW 2000-1,DW 2000-1
1264,4,DW 2000-2,DW 2000-2
1265,4,DW 2000-3,DW 2000-3
1266,4,DW 2000-4,DW 2000-4
1267,1,PMN 2000-1,PMN 2000-1
1268,1,PMN 2000-2,PMN 2000-2
1269,1,PMN 2000-3,PMN 2000-3
1270,1,PMN 2000-4,PMN 2000-4
1271,3,TR 2000-1,TR 2000-1
1272,3,TR 2000-2,TR 2000-2
1273,3,TR 2000-3,TR 2000-3
1274,3,TR 2000-4,TR 2000-4
1275,2,RAN 2000-1,RAN 2000-1
1276,2,RAN 2000-2,RAN 2000-2
1277,2,RAN 2000-3,RAN 2000-3
1278,2,RAN 2000-4,RAN 2000-4
